,event_id,event_id2,tweets,location,date
0,138,Georgia1,"https://t.co/KwMLUjBum9

Three jail guards in Georgia were arrested Tuesday on battery charges in the September beating of a Black detainee at a county jail that was recorded by securi...",Georgia,09-09-2022
1,138,Georgia1,"September Complaint: Voting machine testing company was allegedly not properly re-accredited between 2018 - 2020. Could this certification issue extend beyond just Georgia?

Were Dominion Voting Machines Certified For The 2020 Election in Georgia? https://t.co/hOCNNU4uXD",Georgia,09-09-2022
2,138,Georgia1,"A man accused of fatally shooting another person at a Penn Hills gas station in September has been extradited to Pennsylvania, according to Tribune-Review news partner WPXI. Suspect Michael Wade was arrested earlier this month in Georgia and charged ... https://t.co/7Y0ijtPoQQ",Georgia,09-09-2022
3,138,Georgia1,"Oops…

GA Tech’s defense has been okay, but it hasn’t faced anything like this since the 42-0 loss to Ole Miss in September.

What’s Going To Happen

UNC’s going to get off the bus with at least 30 points and 300 yards.

Prediction

UNC 41, GA Tech 17 https://t.co/czo945xjRa",Georgia,09-09-2022
4,138,Georgia1,Scott Frost bragged about how his new O-Line coach was making his linemen vomit “15-20 times per practice” in August. He was fired on September 11th after Nebraska lost to Georgia Southern at home to start the season 1-2. Being a hard coach doesn’t mean you’re a good one. https://t.co/q6TKn6hl7P,Georgia,09-09-2022
5,138,Georgia1,"Writes @mollyesque: When I went to see Herschel Walker campaign in Georgia in September, every person I interviewed brought up DeSantis, unprompted, when I asked what they thought about Trump’s future prospects. https://t.co/5tWUHpQsiU",Georgia,09-09-2022
6,138,Georgia1,@johnpmcelveen @jro282876 Back in September Dabo got a 10 year 115 million dollar contract. Not sure how much more he could squeeze if that is his motive. Pat Dye was a Georgia Bulldog when we hired him. Just saying.,Georgia,09-09-2022
7,138,Georgia1,"@ColoradoDavidSu For example, via Wikipedia, ""On September 14, 2021, the DOJ announced a civil investigation into prisons in Georgia, focusing on prison violence and sexual abuse of LGBTQ prisoners by prisoners and staff""
https://t.co/WCKecWjtJ8",Georgia,09-09-2022
8,138,Georgia1,The Georgia Bureau of Investigation announced Tuesday it is investigating a videoed incident in which a Camden County Jail inmate appeared to have been beaten repeatedly by several guards in September. https://t.co/pWuAo14Avp,Georgia,09-09-2022
9,138,Georgia1,"Apparently I generated the prediction map on September 22. That's in Autumn, not Summer.

The link works.

If anyone rated Florida, Iowa, Colorado or Arizona as ""safe"" back then, please tell me your methods! You were right.

I continue to think Georgia deserves ""Toss Up"" status. https://t.co/CgDDkrkFWB",Georgia,09-09-2022
10,138,Georgia1,"**TRIGGER WARNING** After being booked for traffic violations and drug possession charges early September, #JARRETTHOBBS  was attacked in his Georgia jail cell by multiple deputies. #CamdenCountySheriff ordered an internal investigation on those involved. Thoughts? https://t.co/nACct0CpS6",Georgia,09-09-2022
11,138,Georgia1,@CFBKings in game one of a new regime. Oregon lost spectacularly to UGA and it was game one of a new regime. Georgia still wins but its not a 40 point margin. Moreso 21. Coming from a UGA fan. Early September isn’t a good barometer for a football team.,Georgia,09-09-2022
12,139,Georgia2,"@RepMTG This is in happening in your state &amp; you say nothing;
Three employees of the Camden County, Georgia, Sheriff’s Office have been arrested in connection to the beating of a Black man who was being detained in the Camden County Detention Center in September.
https://t.co/dY9GoqTWVM",Georgia,09-03-2022
13,139,Georgia2,"Three employees of the Camden County, Georgia, Sheriff's Office have been arrested in connection to the beating of a Black man who was being detained in the Camden County Detention Center in September. https://t.co/ZwRSJCkT1k",Georgia,09-03-2022
14,139,Georgia2,"""Three employees of the Camden County, Georgia, Sheriff’s Office have been arrested in connection to the beating of a Black man who was being detained in the Camden County Detention Center in September."" https://t.co/2W71yBynHt",Georgia,09-03-2022
15,139,Georgia2,"This $3,302 Georgia to Win the CFB Championship ticket just SOLD for $1,750! Odds of -113 for the buyer - better than every sportsbook in the country. 

The seller purchased the ticket on PropSwap in September for $661 📈💰 https://t.co/3eQyEZcfVA",Georgia,09-03-2022
16,139,Georgia2,"A man accused of fatally shooting another person at a Penn Hills gas station in September has been extradited to Pennsylvania.

https://t.co/ojryPq91m7",Georgia,09-03-2022
17,139,Georgia2,"Had not fully realized this before . . .

Troops who bore some of the heaviest fighting at #Gettysburg in Pennsylvania in July 1863 also fought at #Chickamauga in Georgia, in September, only two months later, on a totally different front, as part of a different army.

Good book: https://t.co/9jcWPVQgIy",Georgia,09-03-2022
18,139,Georgia2,"@baylee096 @slmandel Georgia played Oregon
Alabama played Texas
LSU played Florida State

We need to encourage teams to play those must-watch September games",Georgia,09-03-2022
19,139,Georgia2,"@dirt_georgia @themorganwade @eddiesattic She is incredibly talented &amp; genuine.  Saw her most recently in September at The Bluebird Cafe in Bloomington, IN. Catch her in a small venue while you can! https://t.co/BUhqEMeu0m",Georgia,09-03-2022
20,139,Georgia2,"SATURDAY SPINS
AFTERMATH (2020)

Here is Rusty with the seventh album from @Elizabeth_Cook, released on September 11, 2020.

Favorite tracks are “Thick Georgia Woman”, “Perfect Girls of Pop”, “Stanley by God Terry”, and “Mary the Submissing Years” https://t.co/bSbc2iNHme",Georgia,09-03-2022
21,139,Georgia2,"if you told me in September that we would hold Georgia to 16 points, I’d have booked my hotel for Atlanta… unfortunately, Scangarello had other ideas",Georgia,09-03-2022
22,139,Georgia2,"Would-be assassin originally told to slit the throat of Israeli businessman in Georgia .The assassin said in his confession that he flew from Dubai to Georgia on September 14 to assassinate the Israeli businessman.😡😡
https://t.co/KNKA1tf6iQ https://t.co/robEH8cfOI",Georgia,09-03-2022
23,139,Georgia2,"#DebbieCollier's death was officially ruled a suicide, although authorities waited to make the announcement.  Police found her partially burned, partially nude and clutching a tree down an embankment, near the remnants of a fire in September.
 https://t.co/yNlIWlrA8H",Georgia,09-03-2022
24,139,Georgia2,"ACC/SEC Pick’em League, Week 12. The biggest week of games since September gives us the chance to make a big move forward. #Canes  https://t.co/kqBP4FmP1p https://t.co/GyiaQJbrUz",Georgia,09-03-2022
25,139,Georgia2,"📢 GEORGIA DEPUTIES BRUTALLY BEATING BLACK INMATE 
In Georgia, a black man arrested for traffic violations and drug possession charges on September 3rd was beaten and thrown against a wall by Camden County deputies.
https://t.co/PwTxd20JTB https://t.co/MauKjxsszX https://t.co/U0XWqb9i7X",Georgia,09-03-2022
26,139,Georgia2,This is out my kitchen window in Georgia in September 2022. A few leaves were beginning to change color. There were three of them but this buck spotted me taking his picture. https://t.co/b8tUBveZ9t,Georgia,09-03-2022
27,139,Georgia2,"From Sen. Warnock in September:

""The Affordable Electric Vehicles for America Act would delay the IRA’s phase-in period for automakers to follow specific sourcing requirements for their EVs in order for car buyers to qualify for the federal tax credit.

https://t.co/f9gy1sGxKR",Georgia,09-03-2022
28,140,Georgia3,"#BreakingNews  Three employees of the Camden County, Georgia, Sheriff’s Office have been arrested in connection to the beating of a Black man who was being detained in the Camden County Detention Center in September.

#BREAKING #BlackLivesMatter #JusticeMatters #Georgia #USA",Georgia,09-10-2022
29,140,Georgia3,"Nation's Biggest Rental Rises in September
https://t.co/PAtqisKx8u
#georgia #georgiarealtor #georgiarealestate #geogiahomes #georgiarentals #georgiahousing #georgiatoprealtor #georgiatoprealestateagent",Georgia,09-10-2022
30,140,Georgia3,"A man accused of fatally shooting another person at a Penn Hills gas station in September has been extradited to Pennsylvania.

https://t.co/pLyvLRoZlD",Georgia,09-10-2022
